,QUES,ANS,IS_QUESTION,QUES_RELEVANCE,ANS_READABILITY,ANS_RELEVANCE
217,你好，看半年报。资产租赁一项，5万多平米的商铺车库等每年租金怎么会才500多万？根据济南的商铺等非核心地段的非一层商铺价格每平米最少也是2万以上，5万多平最少10亿的资产，租赁价500万，不符合正常比例。报告说的非公允价值指的是什么情况？？？,感谢您对公司的关注。公司与租户按市场价格签订租赁合同，报告期内公司出租房地产的业态包括商铺、写字楼、车库和幼儿园，其中大部分位于济南市郊区章丘区、东营市东营区等三、四线城市，租金较低，且受电商迅猛发展等不利因素影响，对实体店经营冲击较大，公司出租收益下降。,Positive,Positive,4,3
218,尊敬的董秘：请问贵司今年秋收是否已经结束，九月份三次台风天气对种植玉米的收成影响有多大？谢谢,公司主业是玉米种子的生产和销售，生产基地在甘肃，谢谢对公司的关注,Positive,Positive,4,3
219,董秘你好，贵公司旗下海尼兴汽车零部件(南京)有限公司，是不是出售给德国投资公司Mutares SE & Co. KGaA？交易是否完成？贵公司是否需要公告呢？交易价格是多少呢？,尊敬的投资者您好，感谢您对公司的关注！祝好，谢谢！,Positive,Positive,1,1
220,新型冠状病毒疫情对公司有什么影响？正负两方面。,您好，请您关注公司对近似问题的回复。谢谢！,Positive,Positive,1,1
221,董秘您好，发改委关于优化峰谷电价机制、建立尖峰电价机制等相关政策，公司对该政策的解读和针对措施有哪些？ 对公司现行电力生产有什么影响，是否会提高其发电收入？,感谢您对公司的关注。当前国家发改委对分时电价机制的完善旨在确保电力供求平稳运行、提升电力能源侧的持续发展能力和引导低碳消费，相关政策重点针对用电侧，即主要是电网公司与电力用户之间执行的电价政策，以达到削减尖峰时段负荷的目的。鉴于当前发电企业的上网电价基本保持不变，因此仅会对部分签约分时结算市场大用户电量的电力企业产生一定影响。目前，公司所属发电企业已签约部分分时结算市场大用户用电量，因此，此次优化分时电价机制将对公司所属发电企业产生一定积极影响。后续公司将充分利用国家相关政策，一是积极做好市场大用户甄别、筛选和开发工作，努力保障和增加市场电交易利润；二是加强燃煤、燃气机组技术改造和调峰能力，以适应日前交易，并可提高辅助服务收入；三是继续推进发电侧储能等新能源业务，努力提升发电业务效益，实现公司绿色低碳和可持续发展。,Positive,Positive,4,2
222,董秘你好，贵公司供货给保龄宝是否属实，具体是哪方面的业务？谢谢！,非常感谢您的关注！公司与保龄宝存在合作关系，公司膜与连续移动床技术应用在低聚糖、赤藓糖醇、低聚半乳糖、海藻糖等品种的分离纯化及浓缩。,Positive,Positive,4,3
223,三季报大约什么时候预告？公司的合理市值大约是多少？,尊敬的投资者您好，根据相关法律法规，公司将在10月31日前披露第三季度报告，敬请关注。二级市场的股价波动受多方面因素的影响，公司将继续努力做好经营管理工作，不断提升公司内在价值和加强市值管理。谢谢！,Positive,Positive,4,3
224,公司大股东如何解决公司与国元证券的同业竞争问题,投资者您好，华安证券控股股东为安徽省国有资本运营控股集团有限公司，国元证券控股股东为安徽国元金融控股集团有限责任公司，并不存在同业竞争问题，感谢您的关注。,Positive,Positive,4,3
225,贵司4月17日答复的官网网址，竟然无法访问。请问你们所从事业务，是属于软件和信息服务业么？贵司的技术能力如此体现么？请贵司给予答复,您好，公司前期安全检查发现网站存在安全漏洞，为防范风险，公司临时关停网站并进行修复，目前已恢复，感谢您的关注。,Positive,Positive,4,3
226,第二艘 航空母舰， 真在设计和制造， 请问宝钢股份， 是否有产品， 被选入应用？,公司产品定位于高端制造，并一直积极争取各细分行业的业务机会。,Positive,Positive,1,1
227,怎么还不发半年报预报？,尊敬的投资者，您好！《上海证券交易所股票上市规则》没有就业绩预告做出强制要求，公司可以自主决定是否发布业绩预告。,Positive,Positive,4,3
228,1.永辉科技和华为鸿蒙战略合作什么时候提上日程，什么时候接入鸿蒙？应合作各大网络平台抖音小店、快手等带货？科技永辉不要只是噱头而已。2.为什么公司的钱打水漂都不投资白酒，啤酒，酱油，水等上市公司？随便一个舍得酒、东鹏特饮都千亿市值，也没并购重组合适的源头公司？定是管理层格局思路跟不上时代，市值蒸发600多亿作何解释3.永辉超市服务应学习胖东来或者收购胖东来或让胖东来指导,我们一定认真研究您的建议,Positive,Positive,1,1
229,尊敬的董秘您好，根据贵公司2018年度财报显示，上一年度（2017年）归属于上市公司股东的净利润调整前为301229424.95元，调整后为278584218.9元。请问2017年归属于上市公司股东的净利润是以调整前还是调整后为准，如按调整后为准，那2017年度的3亿业绩承诺未完成，激励股权已解禁又作何处理，如按调整前为准，那调整业绩又作何解释，难道是为了业绩承诺解禁增加利润顺利解禁而为之吗？,您好，感谢您对公司的关注。因公司于2018年以发行股份及支付现金的方式向公司实际控制人姜照柏及其一致行动人姜雷购买其合计持有宁波天弘益华贸易有限公司100%股权，进而间接取得CAPM的控制权，CAPM的核心资产为南非奥尼金矿矿业权。按照会计准则要求，公司2018年度报表合并宁波天弘，同时需要对2017年度报表调整同一口径。此项调整为会计准则合并报表要求，非经营管理造成，因此不涉及对前期业绩承诺调整，也不影响股权激励，谢谢！,Positive,Positive,4,3
230,请问三季报964亿的预收款项中房地产销售和大宗商品的各自占比是多少？,您好，感谢您对公司的关注。您所提问的内容属于暂未披露的非公开信息，公司将在2019年年度报告的附注中披露预收货款和预收售房款，敬请留意。,Positive,Positive,4,3
231,尊敬的董秘你好，贵司一季度业绩不理想，在市场氛围大好的环境下依然低迷不振，贵司的可转债也受拖累一直破发在面值下，希望贵司能珍惜市场难得的好环境，下调转债转股价和提振股价早日解决可转债并促进转股，提高资本运作效率和降低负债率。,尊敬的投资者，您好！感谢您提供的宝贵意见和建议，谢谢！,Negative,Positive,4,3
232,请问公司是否持有国电阿克苏河流域水电开发有限公司股权？该公司是否纳入电力碳交易？,公司持有国电阿克苏河流域水电开发有限公司24.81%的股权，目前没有电力碳交易。,Positive,Positive,4,3
233,尊敬的董秘，您好！根据贵公司2020-022公告，公司2019年向联营公司“横河川仪”采购了3.336亿元高端变送器，占年度采购总额的11.64%。两公司产品与市场交叉，显然存在利益冲突的可能、存在小股东利益受损的可能。请问贵公司有没有在数年内并购该公司以消除利益冲突的计划？如果没有这样的计划，那贵公司在研发类似产品、“横河川仪”在销售类似产品时，是否互有限制、或者互有默契？如没有限制，贵公司有无研发替代产品的计划？,尊敬的投资者，您好！智能压力变送器是工业自动化仪表的主要产品门类之一，公司的PDS变送器与横河川仪的EJA变送器均为高精度智能压力变送器，两者不存在相互的限制，主要是根据市场竞争态势和用户需求进行选择。横河川仪为公司与日本横河的合资企业，由日本横河控股，日本横河作为全球领先的工业自动化仪表企业，与公司保持着长期友好合作关系。公司与横河川仪因经营所需发生的关联交易遵循公平公允的市场原则，不存在损害中小股东利益的情形。感谢您的关注！,Positive,Positive,4,3
234,董秘您好，2021年6月16日浙江省发改委关于同意调整嘉兴1号海上风电场项目核准容量的批复文件装机容量由300MW调整为301.2MW，而华能嘉兴2号海上风电项目，为减少项目对钱塘江涌潮的影响，组织设计单位对方案进行优化，将装机容量从400MW降低至300MW，为何在同海域的风电项目贵公司的核准容量不减反增？,您好，感谢您对公司的关注！浙能嘉兴1号海上风电场项目与华能嘉兴2号海上风电场项目场区所在位置不同，对钱塘江涌潮影响大小不同。针对钱塘江涌潮影响，我司先后两次委托相关单位做了专题研究报告，并经主管部门组织审查通过，结论为对钱塘江涌潮影响很小。影响钱塘江涌潮主要是桩基数量，和容量大小并非完全正向关系，项目中的3台风机替换为2台更大容量试验风机，相应风机桩位比原方案减少一个，对钱塘江涌潮影响更小。风场总装机容量的微调经省发改委核准审批，具有法律效应。谢谢您对我公司和项目的关心。,Positive,Positive,4,3
235,PHEV车国家的地方有补贴，可帝豪PHEV车的销量少得可怜，是什么原因？,您好！6月27号CHS佛山工厂正式投产，目前CHS公司已与多家主机厂合作，未来CHS生产的混合动力系统会搭载更多的车型。公司也将与更多的主机厂一起继续推动“蓝天行动”。,Positive,Positive,1,1
236,请问东莞的垃圾处理费1.1元/吨，广东省内其他地方大致也在89毛左右，为何比浙江这边高那么多？,您好！垃圾处理服务费标准跟项目边界条件、商务谈判和地方财政支付能力等有关。据了解，广东省垃圾处理服务费标准跟浙江省相比总体差别不大。谢谢！,Positive,Positive,4,3
237,请问贵公司和清华大学合作进行的新型超级电容器用石墨烯-碳纳米管，现在到什么阶段了，是否已投入批量生产？这项技术实用后对新能源车充电能否出现革命性的突破？,您好，目前还在努力拓展应用领域，感谢您的关注。,Positive,Positive,1,1
238,如果重组失败，公司有什么措施扭亏么？还是打算直接退市。,"您好，公司将通过加强成本管理，挖掘现有业务潜力和全力推进重大资产重组等措施，实现公司2018年扭亏为盈的目标，具体措施如下： （一）酒店经营及管理业务投入更多的人力物力积极开拓市场，扩大住店客源，提高客房餐饮收入，力争减亏；装饰工程业务抓好在建工程项目的建设，同时克服困难，积极开拓新的市场，力促装饰工程业务量有所提高,力争工程收入比上年增加。 （二）继续进行资源整合，盘活公司现有资产，加强管理，控制成本。 （三）通过诉诸法律等多种措施，不断推进酒店公司应收账款的回收工作，争取早日回款，以维护公司和股东的利益。 （四）全力推进公司重大资产重组工作，实现战略转型，优化和改善公司现有的业务结构和盈利能力。",Positive,Positive,4,3
239,您好！公司总经理毛磊先生曾讲：人工智能将是公司研发主要方向之一。“弱视人士AI眼镜镜头项目和公司主要产品领域相关，请问该项目目前进展情况。谢谢您！,感谢您的关注，弱视人士AI眼镜镜头已完成开发，并逐步进入量产，由于公司需根据监管规则进行信息披露，具体量产进展，请关注公司定期报告及其他公开披露信息。谢谢！,Positive,Positive,4,3
240,贵公司外销占比将近60%，最近人民币汇率走弱，是否对业绩有帮助，谢谢？,您好，人民币贬值对出口企业有一定积极影响。,Positive,Positive,4,3
241,柏飞电子14年出台收购方案时利润为负数，15年就达到0.61亿，16年收益又大增，可以说价值节节攀升。请问，中电科叫停重组是否与柏飞升值有关？如你们解释为“不损失国资利益”，那停止重组就是损失了投资者利益老百姓利益，这与中央“不与民争利”政策不相符！而且你们还损失了信誉！请作正面解释。谢！,您好！柏飞电子2013年净利润为3971.31万，不存在2014年出台收购方案时利润为负数的情况。本次终止重组主要原因为当前行业市场环境的变化、标的资产价格预期的变化、本次重组历时过长，不存在中电科叫停重组的情形。谢谢！,Positive,Positive,4,3
242,你们赶紧和瑞华事务所切割，再一起玩下去要出事的,尊敬的投资者，您好，感谢您对公司的关注，相关事项请以公司在上交所网站发布的公告为准。,Negative,Positive,4,3
243,小米旗下红米手机已实现LCD屏幕指纹方案，请问贵公司有没有研发相关技术？如有研发，是到了小试阶段还是中试阶段或者已经具备量产条件，敬请董秘仔细回复下，别老是谢谢关注,您好!感谢您对公司的关注。谢谢！,Positive,Positive,1,1
244,由于长期持有，我也能享受不用交红利税了，上一年业绩是不是快要发布了？,投资者您好，公司2020年年报预约披露日为2021年4月23日，敬请关注，谢谢！,Positive,Positive,4,3
245,公司哪些项目是为长三角一体化发展服务的？,您好！项目情况请查阅公司定期报告。感谢您对公司的关注！,Positive,Positive,4,1
246,请问是否有新冠肺炎药物的研发？,您好！公司于2020年2月获得法维拉韦“新型冠状病毒肺炎”临床批件。目前公司该品种新适应症临床试验尚在进行之中，公司将根据进展情况，严格按照相关法律、法规的规定及时履行信息披露义务，请关注公司公告。临床试验进度及结果均存在诸多不确定性，敬请广大投资者注意投资风险。谢谢！,Positive,Positive,4,3
247,董秘你好，请问主业到底属于哪个板块？建筑装饰还是半导体还是光伏？,您好，公司聚焦半导体业务的发展，紧扣高质量发展的主题，努力为股东创造更好的回报。,Positive,Positive,4,3
248,您好，请问公司主要营业收入来源是什么呢？稳定吗？,尊敬的投资者您好，感谢您的提问，公司的营业收入主要来自涤纶长丝和PTA产品的销售，目前公司经营一切稳定。感谢您对公司的关注和支持。,Positive,Positive,4,3
249,王均豪在《第一财经》说现在无锡的大东方也在转型。请问董秘，我们大东方转型是要往哪个方向转？7-11？,您好，发展与转型，可以说是很多长久公司历程中一个必然而永恒的主题，本公司也不例外，始终会持续寻找符合公司的新的机遇，追溯公司过往50余年的发展历程中，也有成功抓住过相关的转型及发展的历史机遇，才得以不断成长壮大。目前，公司未有相关具体事宜或信息可以在本互易动平台发布或提供，要了解公司相关信息动态，敬请关注本公司在上海证券交易所网站、上海证券报等指定信披媒体的公告等法定披露信息。谢谢关注,Positive,Positive,1,1
250,您好，请问贵公司产品有涨价计划吗？,尊敬的投资者，您好！公司产品的定价根据市场需求、原材料价格、人力成本以及汇率等多因素调整。感谢您对我司的关注！,Positive,Positive,1,1
251,董秘你好！百度搜索搜永辉超市官网词汇有出现公司的加盟广告置顶，网站所有图片也是公司的绿标图片。请问公司是有放开加盟吗？如果不是望公司法务部门给予关注，以免给公司造成负面影响，谢谢！,没有加盟，谢谢您的提醒！,Positive,Positive,4,3
252,天津生态城经历了9年的建设，大力推进木结构、钢结构、装配式、住宅工业化等创新型绿色建筑示范项目建设及新技术新产品的应用，因此，为帮助天津生态城完善绿色建筑工业化与装配式建造的相关需求，完善装配式设计建造技术体系，4月共同举办“装配式建筑”主题沙龙，为生态城装配式产业链建设与集成提供思路。是否会应用雄安建设？,股东您好！您在问题中描述的是中新天津生态城，而非国检集团参股子公司——天津生态城绿色建筑研究院有限公司。    中新天津生态城是中国、新加坡两国政府战略性合作项目，生态城的建设显示了中新两国政府应对全球气候变化、加强环境保护、节约资源和能源的决心，为资源节约型、环境友好型社会的建设提供积极的探讨和典型示范。    公司参股公司——天津生态城绿色建筑研究院有限公司业务范围为开展绿色建筑、节能建筑全过程的咨询、评价、后评估、管理服务，围绕绿色建筑、节能建筑进行新技术、新标准、新材料等的应用与集成研发。天津生态城绿色建筑研究院有限公司致力于将天津生态城建设成为国家级绿色建筑技术创新和展示平台，为中国其他生态城市绿色建筑的发展树立技术样板，从而实现天津生态城发展模式的可实行、可复制、可推广。作为参股股东，公司仅通过股东会行使表决权，截至日前，公司尚不知晓天津生态城绿色建筑研究院有限公司有关参与雄安新区建设的计划。谢谢您的关注！,Positive,Positive,4,3
253,高收入人群和风险偏好者希望公司少发现金红利，请问贵公司在制定分红政策时会考虑不同收入群体的需求吗？,公司利润分配方案是以股东利益最大化为宗旨，基于公司目前的实际经营和财务状况，综合考虑公司正常运作和长远发展、股东合理回报等因素而制定的，同时也满足《公司章程》及监管部门关于利润分配政策的有关规定。,Positive,Positive,4,3
254,绿地既然增发股票迟迟不能通过，为什么不考虑分拆业务板块上市呢？,您好！感谢您的建议！,Negative,Positive,4,3
255,2020-09-15：北京商报网新闻报道，《“0压”枕头变形不回弹 梦百合遭遇质量投诉》。请问贵公司将如何公关以消除负面消息对公司声誉造成的影响？,你好，公司建有完善的品质管控体系，产品经过层层检测，不存在质量问题。该质量问题是由于其保管不善引起的（滞销超过产品规定打开的时间），谢谢您的关心。,Positive,Positive,1,1
256,请问公司2017年扣除非经常性损益后的净利润增长百分比大约是多少？,请届时参见公司2017年年度报告。,Positive,Positive,4,3
257,贵司涉及的氢燃料方面项目及技术请告之，谢谢你！,您好，公司氢燃料相关技术主要应用于军用特种氢能源电站等特殊环境，同时公司作为课题牵头单位承担的“用于分布式供能的醇类重整制氢技术研究”课题获批国家重点研发计划专项科研任务。感谢您的关注！,Positive,Positive,4,3
258,请问董秘：最近白酒公司纷纷涨价，公司自有品牌醉爱酒相关产品会不会提价？,尊敬的投资者，您好！公司“醉爱”系列白酒暂无提价计划。感谢您的关注！目前公司白酒业务规模和销售收入占公司收入比重低，对公司营业收入、利润增长不构成重大影响。敬请广大投资者注意投资风险！,Positive,Positive,4,3
259,内蒙古能源局10月17日（2020）第38号公告，发布了代自治区人民政府起草的《关于促进全区煤炭工业高质量发展的意见》，意见四、重点任务其中提到：“十四五期间，在鄂尔多斯等地新建一批现代化大型矿井，科学释放优质产能”。宝丰在鄂尔多斯上马的400万吨/年聚烯烃项目，是鄂尔多斯乃这内蒙古都是最大的煤制烯烃项目，请问这一项目的煤炭资源配置，是否己列入规划的鄂尔多新建煤矿范围？,尊敬的投资者您好，关于公司鄂尔多斯400万吨/年煤制烯烃项目所需的煤炭资源，目前公司正在按照法定程序积极有序推进，详细进展情况公司将会以公告的形式对外披露。感谢您的关注。,Positive,Positive,1,1
260,请问公司领导，对今年公司降低负债率有没有实质性的进展？,投资者您好！！公司的经营性现金流入保持良好的水平，同时严格控制技改和并购支出，自由现金流大幅增长。另外，公司也一直在努力剥离非经营性资产。,Positive,Positive,1,2
261,2017 年上半年，绿地以107亿元的权益销售金额排名第一，成为上海上半年房企权益销售金额的领跑者？,您好！感谢您对公司的关注！,Negative,Positive,4,3
262,"全国股转公司发布了2021年第三季度主办券商执业质量评价结果的公告,东兴证券在二季度的排名为第7位，而三季度排名则大幅下滑38位至第45位。请问公司大幅下滑是什么原因？公司治理管理是否规范？是否有未公消息？",尊敬的投资者您好，从主办券商执业质量评分指标来看，公司第三季度无合规质量扣分情况，三季度新三板市场活跃度增加，大部分主办券商加大了新三板投入力度，在挂牌、做市业务上发力明显，导致公司行业排名出现波动。公司始终坚持依法合规、稳健经营的理念，不断依照“健全、合理、制衡、独立”的原则，优化完善“全面、全员、全过程、全覆盖”的风险管理体系，不断完善各项制度流程，公司不存在应披露而未披露的信息。感谢您的关注！,Positive,Positive,4,3
263,您好！请问非公开增发进度怎么样了？从五月提出至今没有进展公告？,您好！公司非公开发行A股股票正在有序推进过程当中，请持续关注公司定期报告或临时公告，谢谢！,Positive,Positive,4,3
264,公司股价长期徘徊在1元左右，上市的意义是什么？,感谢您对我公司的关注。我公司将持续对标行业先进企业，积极加强经营管理，提升经营绩效，持续保持公司的稳定健康发展。,Positive,Positive,1,1
265,公司业绩公布与现在市场股价走势不相符，不知何原因？,尊敬的投资者，您好！二级市场股价走势受政策、经济、行业、市场、板块热点、投资者心理等多重因素影响，股价的涨跌是市场多方买卖力量博弈的结果。敬请您注意投资风险，谨慎投资。感谢您对公司的关注！,Positive,Positive,4,3
266,公司去年年报现金流充足，在房企中难能可贵，但是股价严重违背公司基本面！公司有什么措施稳定股价维护中小投资者利益！,尊敬的投资者，您好。感谢您对公司的关注与支持。基于对公司未来发展前景的信心和内在价值的认可，公司拟实施股份回购。股份回购的相关内容详见公司于2020年7月7日在上海证券交易所网站披露的相关公告。,Positive,Positive,4,3
267,中报称高性能过滤生产线预计年底建成，请问目前除首条己建成生产线，其他生产线是否己动工建设？定制设备问题是否已解决？,尊敬的投资者，您好！关于高性能过滤材料的相关进展，您可查阅公司在上交所网站发布的2019半年度募集资金使用报告，感谢您的关注。,Positive,Positive,4,3
268,请问公司国内的经销商渠道开拓有实际进展吗？可以对2021国内市场开拓展望一下吗？,尊敬的投资者：您好。在国内，我们将采取渠道销售为主、直销为辅的策略。直销模式会维持在较少的几个领域或者大客户上，但也会逐步转渠道销售。而其他领域则完全放开给渠道销售。在此过程中公司将不断培养渠道，让渠道充满积极性并有相应的能力进行销售。而且，公司的全产品线都将对渠道进行开放。同时，我们制定了相关的渠道补贴策略，通过福昕领航的方式，提供相应的资源给有意愿有能力帮助我们进行宣传销售的渠道商。感谢您的关注！,Positive,Positive,4,2
269,尊敬的董秘，您好。中报中销售费用下降，贵司解释是运输费、装卸费同比减少，而按照正常逻辑，贵司营业收入大幅增长，理应正增长才对，是否是改变了运输方式？还是采用新的会计准则而将有销售合同的运输费、装卸费在营业成本中反应？谢谢。,尊敬的投资者您好，公司焦炭产品的运输模式为，大部分由客户自提，少部分由公司通过铁路配送。去年上半年，新冠疫情严重，公路运输受限，原焦炭自提客户转为由公司通过铁路配送，导致运输费用上升。今年上半年恢复了正常，客户自提部分比上年同期增加，所以运输费同比有所下降，感谢关注！,Positive,Positive,4,3
270,基于对公司未来发展的信心，同时为了促进公司长期稳定的发展，股东靖安洪大招昆股权投资合伙企业自愿承诺自承诺函签署之日起三个月内（即2021年5月14日-2021年8月14日）不减持或以其他方式处置明阳智能的股份。请问该股东在即将到达8月14日时，是否会出具继续不减持的承诺？,您好！感谢您的关注！任何投资者在遵照法律法规的前提下均有自主选择交易的权利，公司发展需要公司全体成员共同努力，投资者的交易行为不构成对公司前景任何预判或者影响。,Positive,Positive,4,3
271,大股东南江集团持有贵公司的股票全部进行了质押，近期华丽家族股票大幅下跌，是否已接近平仓线？如今股价如此低，是否考虑增持？,您好，公司2015年非公开发行股票为公司大股东南江集团全额认购，目前上述事项尚在进行中且已经中国证监会发行审核委员会审核通过，公司尚未收到证监会下发的正式核准文件。感谢您的关注！,Positive,Positive,1,1
272,公司称并未从事市场所认为的区块链业务。请问公司定义的“市场所认为的区块链业务”是什么业务？公司主营的供应链管理和保理业务是否使用了“一种按照时间顺序将数据区块以顺序相连的方式组合成的一种链式数据结构， 并以密码学方式保证的不可篡改和不可伪造的分布式账本。”所定义的区块链技术。如果采用了，请描述一下该技术对公司现有业务的影响。,尊敬的投资者：您好！感谢您对公司的关注，有关公司的重要信息，请您查阅公司在法定信息披露媒体《上海证券报》和上海证券交易所网站（www.sse.com.cn）上披露的相关临时公告和定期报告。若需咨询，请致电0871-65739748-1007。谢谢！,Positive,Positive,1,1
273,请问我们的A股编码是多少，我刚开通华泰账号没几个月！我很看好公司的未来，我介绍我身边股友都开通华泰证户，他们以前都用东方的！我们的涨乐app现在很完善，银行存管也特方便快捷,您好！公司A股的证券代码为601688，非常感谢您对公司的支持！公司涨乐财富通App一直高度重视客户体验和服务便捷性，着力为客户提供专业、高效、有温度的智能财富管理服务。,Positive,Positive,4,3
274,可以把股票代码标在贵公司央视投放的广告上吗？谢谢！,尊敬的投资者您好，感谢您对志邦家居的关注。您的建议我们会转交给企划部门，做认真研究。,Negative,Positive,4,3
275,你好，你们在三季度报表中说到：标的公司深圳和长沙的牧泰莱模拟合并实现归属母公示的净利润：80661290.53元，根据约定此收益由公司享有，请问在年报中是否确认此收益？,您好！感谢您的关注！根据公司与交易对方及标的公司签署的本次收购相关协议约定，在过渡期间，标的公司所产生的盈利及收益由公司享有，出现亏损则由交易对方以现金方式全额补偿予公司。过渡期间为2018年6月1日至2019年8月31日。根据会计准则，非同一控制下合并取得的全资子公司深圳牧泰莱和长沙牧泰莱于2019年9月起纳入公司合并报表范围。,Positive,Positive,4,3
276,上市公司的公告不是小孩过家家，有法定的真实义务。。既然发布了征询意见的公告，那么就应该公布征询意见的结果。作为流通股东非常重视上市公司的公告，也向上市公司反馈了分配意见，但是公司公布的分配方案大失所望，我们有理由认为上市公司的管理层漠视了我们的意见，我们希望公布征询的结果,公司根据上市公司现金分红有关监管文件精神，发布分配预案征求投资者意见公告。公司披露年报的同时，发布了《关于2018年度利润分配方案说明的公告》，对本次利润分配有关情况作了详细说明。谢谢！,Negative,Positive,4,3
277,11月3日中国交建喜中900亿工程，为什么股价 却不断下跌？难道是现金流比较差的因素？,您好，股票价格波动受多重因素的影响，公司及公司管理层亦在密切关注股价变化。目前公司经营情况正常，财务各项主要指标稳健。谢谢您的关注。,Positive,Positive,4,3
278,公司年报拟10派2元，何时进行股权登记？是否可以进行转股？如10转10派2元，这样会更加符合市场需求，请股东会审议,感谢您对公司的关心！公司分配预案还需股东大会审议，股权登记还未确定，您的建议已经转告。谢谢！,Positive,Positive,4,3
279,请问公司和华为有业务来往吗？,尊敬的投资者：您好！公司目前和华为没有业务来往。谢谢！,Positive,Positive,4,3
280,尊敬的董秘您好，请问贵公司最新的股东人数是多少？,尊敬的投资者，您好！由于上市公司股东人数问题不属于强制披露范畴，除季度末外，其他时间点股东人数不属于公开信息，故公司不在互动平台上披露股东人数信息，还望见谅。为保证所有投资者平等获悉公司信息，根据信息披露公平原则，公司会在定期报告中披露对应时点的股东信息。感谢您对公司的关注。,Positive,Positive,4,3
281,请问贵公司2017年白货同集装箱业务对比2016年增长多少？2018年集装箱，白货业务是否有计划增长目标？公司托管下的瓦日铁路运力目前释放多少？日均煤炭运量多少？,瓦日铁路目前日均运量在10万吨左右，谢谢关注，祝生活愉快！,Positive,Positive,4,2
282,您好。随着募投项目的投产，公司规模随之扩大。公司近期是否考虑增加相应的高级管理层人员数量，来应对生产经营需求，是会从内部提升还是外部招聘？,尊敬的投资者，您好！公司将视实际需要决定是否调整管理层规模，一般根据规划需求及素质模型从内外两种渠道遴选人才。谢谢。,Positive,Positive,4,3
283,董秘你好！请问为什么贵公司长期无人调研？是否公司长期经营混乱，以至于无人问津。,尊敬的投资者您好，公司生产经营持续保持稳定，谢谢。,Positive,Positive,4,2
284,公司上市以来有没有机构调研？建议公司多与机构投资者沟通！,公司重组上市以来一直受到机构投资者的持续关注，公司与相关媒体和机构一直保持良好的沟通与联系。感谢您对公司的关注，谢谢！,Positive,Positive,1,1
285,很多公司对股票都进行了回购注销，就连002298这样大幅度高于净资产的公司都开始回购注销了。建议公司从未分配利润中拿出3亿元进行回购注销，价格不高于8元，本年度不进行利润分配，但要10转10，.这是作为股东的建议，请转告董事会好吗？,好的。,Negative,Positive,4,3
286,请问云南城投集团管理层：为什么上市公司不好好打理，让股价如此贱卖？为什么不把上市公司股价好好打理？几年时间天天债款还债、利息。为什么不好好学下沿海的上市公司经营策略，如，海汽集团，兰港控股一大群海南股票，就靠免税概念，大幅上涨，成了提款机，用来搞建设！闻泰科技股份注入云南城投，马上股票大涨，就可以两边数钱了！赚钱了。为何要天天借？不作为？国家的钱不是钱？,您好，感谢您的意见及对公司的关注，敬请您关注公司后续公告。,Negative,Positive,4,3
287,贵公司营收规模仅为海康威视零头，是否意味着公司成长空间巨大？谢谢回复,公司产品主要是针对音视频信号的显示控制，涉及图像处理器，矩阵，一体化平台等，属于控制室的核心设备，与海康威视主打的前端摄像头以及配套控制的产品线有所不同。作为资本市场的新成员，公司会利用好平台带来的发展和机遇，为广大股东追求最大利益。,Positive,Positive,4,3
288,给公司领导提点建议：上市公司悦达投资的投资方向不集中，应该以汽车产业相关上下游产业集中投资，真正做到子公司专业化的改革目的，把集团有关汽车产业的项目投入到上市公司里，煤炭，纺织等其他企业可以剥离上市公司。,谢谢您的建议。,Negative,Positive,4,3
289,董秘你好，请问贵司对合并报表范围内的无锡华郡能否实现有效的控制和管理？,尊敬的投资者您好！无锡华郡为我司全资子公司，公司非常重视住宅产品的质量和业主权益的维护，您反映的问题将转达给相关部门核实，公司将尽最大的努力解决问题，保障业主的合法权益。感谢您对公司的关注！,Positive,Positive,4,3
290,董秘您好，请问贵司中持水务股份有限公司于2020-12-09 115332中标《延津县第一污水处理厂提标改造工程项目合同公示》，我查了新乡公共资源平台，显示该项目拟定项目总投资：设计及施工98570000.00元，接近一个亿。请问是贵司单独中标还是联合中标？中标金额是多少？感谢答复！祝贵司业绩蒸蒸日上！,您好，公司与中国电子工程设计院有限公司联合体为延津县第一污水处理厂提标改造工程项目的中标单位，公司作为联合体牵头人承担本项目的工程施工、设备采购、安装、指导调试等工作。感谢您对公司的关注！,Positive,Positive,4,2
291,目前公司股价年线四连阴，实属市场罕见，希望管理层知耻后勇，切莫辜负投资者的期望，在牛年切实落地海缆与硅光项目，董秘做好与投资者的交流责无旁贷。请问以上两个项目的预计落地投产时间？,尊敬的投资者，您好。二级市场股价受诸多方面因素影响，敬请投资者注意投资风险。公司目前经营正常，未来将继续专注做好主业，通过持续打造核心技术优势，提升市场竞争力，进而逐步提升业绩水平。公司将按照相关规定及时履行信息披露义务，募投项目正在有序地推进中，具体的投产和项目完工时间请您关注后续的相关公告。,Positive,Positive,1,1
292,管理费用14亿，难怪利润低下，强烈要求裁员减薪，高管们要带头减薪。4万多员工，以福田现在的规模效益1万员工都多。,尊敬的投资者您好！管理费用增加的原因主要是由于公司转型升级，产品研发投入增加了研发费用，及相关人员增加导致工资性费用增长。,Positive,Positive,4,3
